day,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
3,Región Metropolitana de Santiago,24.147354233154918,0.3743711897148269,15.07373762289052,0.2336973838385368,15.08732902071196,0.23390809998146034,15.084920502532984,0.23387074820077827,12.2670208090438,1.338027040359559,11.686682996165779,1.6532318782440114,11.83648385118307,1.6895412152367173,11.730016433059124,1.6641470137299164
6,Región Metropolitana de Santiago,23.9245511873743,0.34262591011300403,14.957032141129986,0.21412569453512453,14.970543307392413,0.21431923909912334,14.968147162805002,0.2142849126234281,12.12878415766504,1.4535063536887391,11.26925118154465,1.2973336392033692,11.405730753724479,1.3142381245159847,11.310265019242246,1.3074355749844082
2,Región Metropolitana de Santiago,24.1325255823158,0.3578075249590904,15.091526089785221,0.2258461264855973,15.105141398208486,0.22605169161415548,15.102729964770985,0.22601535689660743,11.675852749077078,1.3480448381742205,11.066300395013974,1.457476013805925,11.195876125603597,1.4917814599932429,11.103414008812502,1.4648528929097442
5,Región Metropolitana de Santiago,23.374980576507653,0.3455761525762025,14.652866531629673,0.2166275712019273,14.666123869231267,0.21682356692208815,14.663775790361816,0.21678884843598764,12.510108418686183,1.1839445846354864,11.622895973512884,1.2870909557674783,11.747612835983547,1.306436337735205,11.658596981056965,1.2932303761430097
1,Región Metropolitana de Santiago,23.51919542753834,0.3062689999909968,14.698560872978774,0.19140206860236378,14.711850118256443,0.1915751322236619,14.709493293655399,0.19154442956325785,11.807507740262789,1.2022178995982533,11.288040878071326,1.4188357421401323,11.421319947861438,1.4706513059049495,11.328639511247461,1.4312519889285895
7,Región Metropolitana de Santiago,24.064625634479853,0.35401841315039906,15.050483504411597,0.2213604487257747,15.064105579220978,0.22156126883661528,15.061689002536266,0.2215256024193696,11.678282792769455,1.5418831315241783,10.978129471102646,1.740285626999742,11.112655693030622,1.7879135903966958,11.019333158048559,1.7533356699187899
4,Región Metropolitana de Santiago,23.627900908582923,0.33835610864625765,14.762186613309844,0.21159126574231418,14.775513283125981,0.21178266415084165,14.773150834990954,0.21174870572922372,12.04932226445912,1.0851141307555212,11.530019315474448,1.281261869278569,11.683488163325638,1.3027197138382756,11.57044414093923,1.2869616815798859
7,Región de Aysén del Gral.Ibañez del Campo,27.238334919360643,0.40081194190424557,4.293564742400972,0.06316967353018785,6.509507654759806,0.09583497141459979,14.323640019724209,0.21101974891042874,9.07537461796465,2.441059890158828,8.170978977901086,2.536791209259436,8.298971453207459,2.667775791885019,8.705729884498414,2.3423535110521865
5,Región de Aysén del Gral.Ibañez del Campo,26.562739799076493,0.3927014617956943,4.1936075659055945,0.06199796048584958,6.350377774006459,0.09388348189260512,13.957083239198171,0.20634040010630383,8.491538816795334,2.6627022424778777,7.91139696028005,2.745430104366383,8.13672684117703,2.686635576731152,8.460997519442751,2.587954089041519
6,Región de Aysén del Gral.Ibañez del Campo,27.03961997547225,0.3875039613347755,4.258007168432743,0.06095182322137038,6.456015930192605,0.09243797514567219,14.206254493772937,0.2035031871203902,8.93430386625155,2.6744749362274276,8.090086434901519,2.6911454352054682,8.189405012495985,2.9454402523455423,8.66439258564026,2.630706422460809
3,Región de Aysén del Gral.Ibañez del Campo,27.22014096328554,0.42201046083523164,4.294236334549252,0.06657617594207423,6.505310388273104,0.10085583359467729,14.30298887598846,0.22174796851250417,8.470895767936176,2.064986000943211,7.622096946329469,2.0103883922055563,7.804418358635845,2.0333803276961184,8.185969994200027,1.8256059051676023
4,Región de Aysén del Gral.Ibañez del Campo,26.676566703591632,0.3828989371547413,4.207511758063838,0.06027298958757459,6.375477259183976,0.0914049069416051,14.020944400660172,0.20123203457557423,8.531655825510743,2.210894325276029,7.710339078363598,2.0031334786736013,7.961391606820292,1.981872837161198,8.298792322265385,1.9000631070683023
1,Región de Aysén del Gral.Ibañez del Campo,26.582762505005693,0.34615752736634325,4.191909666496123,0.05458632481328814,6.35373476122781,0.08273723030541884,13.977340016670604,0.18201044563657845,8.988147058786428,1.9353284695917778,8.141891657415233,1.9169094154848034,8.271957513234533,2.1395387537259927,8.665945855912359,1.8512752606309335
2,Región de Aysén del Gral.Ibañez del Campo,27.288350582706602,0.41250492165665903,4.306005187917398,0.06549743657995588,6.521044238059855,0.09894567171150212,14.332923953251187,0.2169862331471761,9.064163288151942,2.192696191785498,8.199189987353718,2.1461572507178612,8.363171195484862,2.2666893573721034,8.706619291091556,2.0199603142509375
1,Región de La Araucanía,73.71208527911841,0.9598651967223869,31.613098669597473,0.41165611848974215,63.57009209995005,0.8277872540775879,43.53123990733594,0.5668501043174881,18.75560861756742,3.6057634894560824,12.224499881300442,2.4417375746692764,18.56633747240235,3.9857541308167117,14.729190269591745,3.0571826468203143
5,Región de La Araucanía,73.53577108907102,1.0871639062684617,31.59088389092642,0.4670506870177864,63.47127930257437,0.9383765664830507,43.488172059855884,0.6429392967505712,17.51138467295905,3.576936772125252,11.472340886945386,2.0384932323697553,17.046071823615698,3.8817985759031712,13.591810060273572,2.7152449019054514
2,Región de La Araucanía,75.51970764841319,1.1416488275982197,32.44062200141265,0.49194556633863024,65.18210024860527,0.9864013473933844,44.65868281924555,0.6767338273778624,18.156406277151614,2.5212632665955277,11.874302072951263,1.7051257377459823,18.205085494610305,2.860103765322487,14.290029280590815,2.0853675763548636
6,Región de La Araucanía,74.91191780238276,1.0732794266788737,32.12562710795832,0.45974113213680146,64.61670283700238,0.9253279647883793,44.241121894263046,0.6332188759257413,17.061508555133933,2.7543280210371015,10.640356927229211,1.7541937422034222,16.683525261246736,3.1527896082102904,12.924031924424295,2.1885156188050274
3,Región de La Araucanía,75.394044728952,1.1688804402654924,32.36381132004167,0.5018060465810994,65.04749285926712,1.0085947335751249,44.557376356637874,0.6908687274154341,17.10397475191375,2.956207607634659,11.353806617650502,2.0820350460658354,17.219584688847597,3.2054126587814986,13.528930936635907,2.4723019089803735
7,Región de La Araucanía,75.5493939740246,1.1139292625174377,32.39012528690314,0.47690903939760626,65.14743211522126,0.9598275034940058,44.604795316321194,0.6568934053697985,17.880839284108042,2.7617905700798917,11.529115576144271,1.3426408934087717,17.815807413995774,3.064175745484091,13.929139204072197,1.9507487860482673
4,Región de La Araucanía,73.9213514786491,1.061523271154156,31.719352392388835,0.45493590991215416,63.766316040156056,0.9155053760624121,43.67345522119733,0.6265910693231259,17.14193845661072,3.7015239785356515,11.112997110022587,2.5391977944739414,16.725070383977567,3.7780985867039463,13.268431082996536,3.036279763911544
7,Región de Los Lagos,76.03037705198987,1.1193691943286213,10.679567024341619,0.1570714435346228,35.61791835105193,0.5246860375747397,39.021179651508405,0.5747761640708533,16.068903990410103,1.999495104136872,9.922525345658702,2.2055514019057956,12.254085562173794,1.8612729200679177,12.937558026244773,1.921928508614129
5,Región de Los Lagos,74.10814282633056,1.0956088794962764,10.433789653991305,0.15428875059593036,34.709290083399374,0.5133235388287464,38.03077404553089,0.5623771871402584,14.80703053890214,3.0204350061203096,9.763080603540818,3.078160706133418,11.738983544073834,2.8479369664698253,12.248819125809007,2.8776564110284064
2,Región de Los Lagos,76.124312831914,1.1508244940883385,10.715009892125636,0.1629302523422064,35.645849530326096,0.5396021989434234,39.05617339982306,0.5913957184607662,16.024929492752523,2.2831579249174547,10.201870760131866,3.016555782634938,12.33711068622846,2.660901365907774,13.057465637516643,2.484718081200081
3,Región de Los Lagos,75.95151334614779,1.1775252820898015,10.684655288990673,0.1656773118239194,35.57021184116867,0.5514932278106951,38.97173433600013,0.6042998672486493,16.07008465522544,2.3266742530676523,10.166323372752398,3.0579178659838058,12.334995425849218,2.6734684566540827,13.03991735657874,2.6186636592953962
4,Región de Los Lagos,74.4414017001953,1.0686307566283315,10.467738087981278,0.1499394463059537,34.86757749882957,0.5004083648080878,38.20114898054688,0.5481802366819017,14.7571892064113,2.201742379807111,9.503281188686625,2.6475418959281423,11.496659389737669,2.305876935108008,11.935570707933028,2.2491285452905356
6,Región de Los Lagos,75.44999108351898,1.0811545998659202,10.593496566965136,0.15164392623661596,35.328720082376556,0.5060908820047808,38.70381178680306,0.5543996321269831,14.87559928012928,2.589264983111383,8.805845279916733,2.425307974049437,11.098568318554008,2.492106914057492,11.928529814352157,2.3966754775756867
1,Región de Los Lagos,74.19588232891937,0.9661688323021043,10.427484363226466,0.13578485025167492,34.75759950127462,0.4526073135963181,38.07959601406794,0.49586577943801674,17.038541586752533,2.665717044724015,10.5545469206619,2.937855603502993,12.946802114577308,2.771210794138653,13.854573456505209,2.7964115489065366
5,Región de Los Ríos,40.86875381542947,0.604202001173749,12.13753550717104,0.17944213332721592,22.470124432264708,0.3322009998182403,25.863221289395042,0.3823623063519149,18.436119297089174,3.1277124364436943,10.92570791322996,2.099193070074201,14.562672401639098,2.4452989590174083,14.691418751078146,2.5155524798516
2,Región de Los Ríos,41.9839216564356,0.6347942070192197,12.464170293412755,0.18903130065205404,23.07579739214033,0.34929168827160734,26.56036021849694,0.40199527407257446,19.21899173332877,2.664618988135699,11.689382416101154,2.3924151456999843,15.952659361735043,2.619568052286402,15.955362171838583,2.335774054347296
6,Región de Los Ríos,41.603364889518794,0.5961334073204454,12.341978984750064,0.17673697825284626,22.87222422915419,0.32768044053420825,26.327460816996425,0.37718734134092086,18.177544048794136,2.9121162444547624,10.30109031260628,2.3151402695608323,14.485659984903878,2.6775092183708824,14.570808149115194,2.652088211184348
7,Región de Los Ríos,41.91696123458141,0.6169712778974225,12.44336127918476,0.18319897843542812,23.059919052134376,0.33970699458169795,26.543436453787088,0.3910350790038831,19.74039003028457,2.832942767034427,11.462316473555287,1.7618373758491839,15.679679587031966,2.1424485977633108,15.86842489415665,2.24380382327973
1,Región de Los Ríos,40.907501231688876,0.5326901974672164,12.145169327144817,0.15815224303922906,22.502392007039685,0.2930221551295678,25.901359394072028,0.33728289042047904,20.386011437948667,3.4753328485200976,12.230991674186066,3.086211446110575,16.658528573477692,3.5186263548732155,16.787838992877223,3.509830509520399
4,Región de Los Ríos,41.05010032215179,0.5891360471719171,12.186446070721933,0.17473245647367822,22.57290482599643,0.323951800495594,25.9821577810706,0.3729115487646119,17.742871125171252,3.6043390193016975,10.488207378641953,2.660234169080317,14.068532815988991,2.7671619635011555,14.106621369211243,3.0123794481513544
3,Región de Los Ríos,41.883397032457964,0.6493438871480963,12.434374521628706,0.19277779035809775,23.027241753953263,0.35700546053939447,26.504800655566754,0.4109203754056487,19.235127683691015,3.5808209314543404,11.655857405392782,2.965671497109273,15.83818854511206,2.760621386574311,15.703835999065678,2.9450994306495164
5,Región de Valparaíso,4.919778054564119,0.07273445038490149,1.00302386333403,0.014828627224838799,1.016369046584295,0.015025921376896295,1.0039611934988009,0.014842484724467492,4.853745315000969,0.6143156322513064,4.0833092844523,0.693396031859995,4.226660277563247,0.6732145035076085,4.114458094202548,0.6866462174407839
6,Región de Valparaíso,5.036756728874619,0.07214554534576778,1.0240302844815163,0.014659654937586213,1.0376309873918068,0.014854467983134953,1.0249853135274198,0.014673334123744039,4.663480188819895,0.5405794738236669,3.7794455502033304,0.5864858213041275,3.950601174835903,0.539358441964205,3.813593077431748,0.5899460487969441
4,Región de Valparaíso,4.9663311088166076,0.07142206056739367,1.0106951985232606,0.014485452743348101,1.024110151879923,0.014678107763856111,1.0116372190533856,0.01449897922397393,4.710431704020499,0.5913227286479205,4.036798942492438,0.7498583297355632,4.191450352991919,0.7526513223632095,4.067864756720257,0.7509772211932099
3,Región de Valparaíso,5.067833159959662,0.07856971387603863,1.032129868766848,0.01600174206714121,1.0458113169456607,0.01621385401339568,1.0330906967655293,0.01601663840558037,4.821256211091432,0.6818887543778389,4.205599805675306,0.8724862227729134,4.367041506424084,0.8803602614828631,4.241638534976774,0.8796863132106842
7,Región de Valparaíso,5.077191576666067,0.07494977237060244,1.0303020860550844,0.015151365156082772,1.044014380955836,0.015353510090061487,1.031264801345609,0.015165552228185913,4.686442161074845,0.4837007435742341,3.853570365932278,0.5100533902266172,4.002015335370193,0.49870600626351425,3.8898267249043608,0.5064783041024704
1,Región de Valparaíso,4.954558979086704,0.06451741823469309,1.006277023319274,0.013103567007936264,1.0196543000311338,0.01327776766892419,1.007216279979359,0.01311579814808504,4.944079276376618,0.45398593357817174,4.196944255282162,0.5740304293008194,4.34015019917359,0.5767255083033015,4.230064205923498,0.571467963711515
2,Región de Valparaíso,5.064929382432774,0.07548865536361725,1.0332772056633808,0.015450267990406817,1.0469827514253245,0.015657183483443544,1.0342398798919004,0.015464805483694,4.919922336049773,0.6952582640997158,4.123133357818107,0.7942531986280259,4.281355534032434,0.792234237435994,4.157361761789583,0.7941847992977588
2,Región de Ñuble,27.739374994688376,0.4192499018343508,15.262600635561425,0.2312121851187929,19.390602235457905,0.2935763695950851,15.298072433397087,0.2317649098567998,17.052663092046657,3.0898844359059345,12.072607175430553,2.0201889742971297,14.798664290095097,2.649359978727037,12.330186847694332,2.0652935700281043
1,Región de Ñuble,27.11103522662151,0.3530357941889818,14.880862116191617,0.19375147839514856,18.910557058376003,0.24621287975101902,14.915012920929765,0.1941962801965327,17.341317324128838,3.4064558223451264,11.810696781906525,2.1219004659683187,14.531795528353575,2.5748146831693917,12.089778273918082,2.0962953327283556
5,Región de Ñuble,27.01607366584266,0.3994070842820653,14.862319797240197,0.21973216977321516,18.881797899712595,0.2791604743464596,14.89688801928272,0.22024323091574355,16.718916681369006,4.470355088082525,11.703841770431683,2.4903730588585633,14.119229669198587,3.310076981613267,11.885233525539421,2.546994186768364
3,Región de Ñuble,27.708089833850067,0.4295757799202207,15.229581340010519,0.236113152231751,19.350609231427377,0.3000038200294927,15.26479691083596,0.2366591688496911,16.829304244258324,4.55173747116269,11.975429852540955,2.9516480503488625,14.567119930620144,3.7109416972599942,12.166384944654215,2.982009174557953
4,Región de Ñuble,27.175812371044053,0.3905132693326853,14.928306697880961,0.2142969252215228,18.969153035300717,0.2724137477064771,14.962710527153174,0.21478359112045284,17.059361804008336,3.9723565458047467,11.874821484215113,2.4228008674250816,14.459665677583919,2.940963742920193,12.088363493169213,2.426818598423428
7,Región de Ñuble,27.792555990602064,0.4103134362892682,15.248637818461717,0.22483160726709245,19.37928951828931,0.28584324028345925,15.283520050940282,0.2253398441196132,17.608599024182723,4.460206738880495,12.073242884067685,2.8525519236648766,14.81029951520249,3.781175583083267,12.281554207739854,2.8710122755097784
6,Región de Ñuble,27.53940112074086,0.394553391927985,15.124818744646461,0.21668438606388982,19.221970021567802,0.27543722626210526,15.159441722430609,0.21717699455734063,16.00413256562669,2.812710268520461,10.836611619406057,1.8225139698841655,13.220968573375083,2.2798839630879506,11.024939702399621,1.830040185158671
1,Región del Bío-Bío,35.651283859400245,0.46424468065625574,17.90373518795825,0.23322610500687346,25.29622300651837,0.3295325770840268,18.419626647438466,0.2399444556869915,14.127075756887322,1.9666692977176117,10.873232959274683,1.558529481585942,13.676792070076303,1.904396142835633,11.44083488494261,1.5682439747818693
2,Región del Bío-Bío,36.48489457892742,0.5503588435449694,18.364078156217317,0.27833128639814414,25.937124236423745,0.39279949789976937,18.8935085419099,0.286360515982072,14.200677820833592,1.8157743754822546,10.96262490756888,1.5926740896923564,13.728470092462327,1.8260260525349246,11.458297499453804,1.5991859949114868
4,Región del Bío-Bío,35.73950204145989,0.5134881129889343,17.961471455660902,0.25794651187371603,25.374425109560168,0.36461974317583823,18.479088930600593,0.2653798706700937,13.736095613624807,2.2873211665012074,10.521467896707723,2.294655622213456,13.205352153997438,2.458379245870626,11.032566892414511,2.291233117919559
3,Región del Bío-Bío,36.44807221961477,0.5650759159581484,18.324813285884986,0.2841075978291785,25.885023409633224,0.40132326633951304,18.85296198676671,0.292296544723037,13.819056785402186,2.2984721921926012,10.716950602740198,1.9464298385016272,13.322443908242986,2.352056496483751,11.128422020848635,1.9663787057833937
5,Región del Bío-Bío,35.518539056691395,0.5251041556254132,17.88121526913689,0.26450512811564103,25.255119641243695,0.37361792740578087,18.396772275050115,0.27213472174349157,14.038432993290133,2.5868297081286062,10.851797315625193,1.8039255786176784,13.466909515802586,2.3574444244942567,11.31525053079043,1.8379730026050554
7,Región del Bío-Bío,36.54295201051637,0.5393132394590013,18.345471419769588,0.2706743963865123,25.923096770983154,0.382603580488434,18.87405651919525,0.2784557105250503,14.307479616788342,2.1989675542883127,10.727221863569788,1.4144329621107736,13.637502337116889,2.192737892478285,11.243929696166921,1.4485609016366492
6,Región del Bío-Bío,36.21972876228464,0.5188588932812555,18.197576239011195,0.26073238125554254,25.713741948017073,0.36851897144659534,18.72189982812858,0.26824113100907065,13.079571896911622,2.140430243304581,9.823870292447335,1.6296444796579317,12.398486230507096,1.8729918479093333,10.291650174540553,1.5977212920854762
7,Región del Libertador Bernardo O'Higgins,6.095774395441373,0.08966892541836814,3.7247671397487223,0.05484457383703019,4.4101371353109515,0.06494855750200149,3.87188525849754,0.057012760553122564,6.906235349781796,0.8902495882463108,5.900327097502062,0.6882386759017349,6.558221092820464,0.8343588703879131,6.040992103036162,0.7130067601379788
2,Región del Libertador Bernardo O'Higgins,6.11041021064609,0.09172800736955787,3.729761146209046,0.05634261524873599,4.41478092066841,0.06668729513949413,3.8768684146221886,0.05856504696852214,7.543913019385417,0.9684093505402598,6.210844936322541,0.8649110186090989,6.931215843922636,0.8982808118888024,6.361205584432862,0.8746495104929644
5,Región del Libertador Bernardo O'Higgins,5.937483095826574,0.08777930537093058,3.6297049499018597,0.053662515524605506,4.2967097074988,0.06352372119635599,3.772940999035396,0.05578015333423685,6.987976359613028,0.7997977974797985,6.196335354495217,0.7574830397008507,6.820545108192616,0.8105312925030473,6.3266033205088,0.7656143452477132
4,Región del Libertador Bernardo O'Higgins,5.975938694697875,0.08569271686349544,3.6480135925463237,0.052331787409533655,4.31851763907825,0.06196687706349393,3.7919680012865977,0.0543997786175296,7.158329275074733,0.8478401190505108,6.229985059855026,0.7119843875038093,6.9088014620067435,0.7123354710976577,6.366536428970995,0.7095478820824442
3,Región del Libertador Bernardo O'Higgins,6.100323982141353,0.09457706772329784,3.7223808220882755,0.057713427877449666,4.406198114527192,0.06831738228048909,3.8692079232163255,0.05998994173784404,7.098289312320194,0.8798217151892443,6.121585949437426,0.8729865210657635,6.834142872699908,0.8715344142263841,6.265939518508754,0.874847648217868
6,Región del Libertador Bernardo O'Higgins,6.055684121847806,0.08671882453167641,3.6959356574928215,0.052934061889923265,4.375733901228706,0.06268130747027383,3.841874032895948,0.05502601949398567,6.676222063771242,0.8977130422294295,5.852805941785357,0.7775116160315622,6.482936203268197,0.8340256348402734,5.990854885496739,0.7934367195270657
1,Región del Libertador Bernardo O'Higgins,5.951653323442341,0.07750138106265572,3.635507773215148,0.047345856301642175,4.304126083007281,0.05605619162430599,3.7790409049364877,0.049215188864777756,7.201800702415954,0.8294464539065867,6.061553435664516,1.0425082124628213,6.774034828162138,1.0931998490213064,6.213982812550701,1.0544376511610987
3,Región del Maule,13.193049139623332,0.20453997026741658,4.669644090513391,0.07240226733040184,9.519418451523668,0.14759874929788888,5.28903607726496,0.08200587885505213,8.52416851612068,1.6149234524789486,5.709405975661717,0.8253024329894869,7.372021495012983,1.1122570482351724,5.942529804322018,0.8400805201689219
7,Región del Maule,13.213626843956593,0.19487554770505672,4.6707902269097366,0.0687481653280572,9.531923206213634,0.1404134679706816,5.291452686426771,0.07789629686707514,8.532819369460546,1.4763266292743704,5.575674189605323,0.8403658205253219,7.255980994370085,1.2445932049215385,5.819301544390831,0.8726086752879476
2,Región del Maule,13.207492215108013,0.19918443858178617,4.6803747460301794,0.07090536152934634,9.538525501529751,0.14424835198392588,5.3009133274486295,0.0802833395397511,9.16715143535959,1.3186178852407542,6.121363577064649,0.7053133280049246,7.907878687042494,0.9952201521146691,6.397384580809009,0.7423773272188705
4,Región del Maule,12.933430635647515,0.18558999921971903,4.575846531034023,0.06559563281567916,9.331283210307289,0.1339367871038943,5.18313751789827,0.07431683398723814,8.813677025400294,1.5389391275878672,5.847126657376159,1.0419412426274346,7.494829779387309,1.1583970422854812,6.084673592378667,1.0441873442969947
1,Región del Maule,12.89508666684327,0.16791785976237358,4.559499685238792,0.059385327253553576,9.301711160821954,0.12114503394963286,5.165035858599315,0.06727236104638362,9.171453847192431,1.2892004722113355,5.918561793746057,0.8054050025708211,7.681897775574381,0.9444571537026326,6.198372143544096,0.8212484926501178
5,Región del Maule,12.851916707956446,0.19000195533046468,4.556093144387189,0.06736227611946649,9.28637261728073,0.13730189428418516,5.160330249491911,0.0762960371845952,8.411656007607263,1.5397987138437952,5.700891803172661,0.7907776045507852,7.230706725974565,1.1821691262860319,5.923970801196319,0.849828551991354
6,Región del Maule,13.101355806603593,0.18759298502368804,4.633653078720235,0.06636857806046706,9.455456380520339,0.1355083427427007,5.249254895475809,0.07519227258587473,7.981339369822703,1.3811681105379892,5.237954019868767,0.7693586853637777,6.804628427958003,1.002312946508848,5.467554757259777,0.791919439856472
